SimCLR_resnet18_10e_512b_.005lr,SimCLR_resnet50_10e_512b_.005lr,SimCLR_resnet18_50e_512b_.005lr,SimCLR_resnet50_50e_512b_.005lr
5.419147207381878,5.479039202345178,5.519728853347454,5.545708483838021
5.185538271640209,5.363932447230562,5.205098618852332,5.359986011018145
5.001330852508545,5.312973763080353,5.160873017412551,5.248557689342093
4.897534563186321,5.158389426292257,5.016046737102752,5.168158977589709
4.843026881522321,4.976385147013563,4.890176204924888,5.119910777883327
4.827774920362107,4.854183856477129,4.805640423551519,5.071962792822656
4.812591339679474,4.85260505879179,4.7732777088246445,4.962185179933589
4.745831448981103,4.6985378569745,4.837435468714288,4.909813048991751
4.700386544491383,4.578426056719841,4.696572455954044,4.888225606147279
4.729975132232017,4.656319324006426,4.630901712052365,4.742676998706574
,,4.534706227322842,4.7405739845113555
,,4.467375349491201,4.750901719357105
,,4.505598240710319,4.651828562959712
,,4.3389772963016595,4.664029070671568
,,4.352293902255119,4.5658457634296825
,,4.325934744895773,4.5876904447027975
,,4.319797343396126,4.547595916910375
,,4.134361459853801,4.420450002589124
,,4.003916309234944,4.330932099768456
,,3.913091629109484,4.280933552599968
,,3.7807921450188817,4.249830433662901
,,3.7293034715855375,4.204116785779912
,,3.569288345093423,4.140275371835587
,,3.5100967072426004,4.068426553239214
,,3.390235033441097,4.077619131575239
,,3.3461826557808734,4.002023676608471
,,3.3354936305512775,3.9358791442627603
,,3.270625499968833,3.80991977833687
,,3.1596546122368347,3.7815032258946846
,,3.123943582494208,3.687890199904746
,,3.116116442578904,3.6303266515123083
,,3.0898207451434847,3.5796816704121044
,,3.1068419902882676,3.5241324952308166
,,2.9761402962055614,3.493405321811108
,,2.963643175490359,3.4103072602698146
,,2.9333082919425153,3.3262051014190024
,,2.8901401529920863,3.2247380601598863
,,2.8271537892361907,3.2319587240827845
,,2.7487878444346974,3.132829006682051
,,2.718130111694336,3.0614762204758663
,,2.6467521850098956,2.9726341328722365
,,2.6342870986208005,2.966531738321832
,,2.5593931319865773,2.9489235675081296
,,2.521419646892142,2.88207231683934
,,2.5160722402816122,2.870941831710491
,,2.487465346113164,2.873182159789065
,,2.4026860835704396,2.7489771234228257
,,2.3877373730882687,2.7490511143461185
,,2.287557419310225,2.653908166479557
,,2.3470464767293726,2.658425320970251
